date,investor,acreage,pricePerM,price,numBedroom,numBathroom,furniture,directionHome,directionBalcony,district,quan,huyen,farCenter,lat,long,quarters
2020-10-02,công ty cp tập đoàn s.s.g,94.0,30.0,30 triệu/m²,3.0,2.0,full,Missing,Missing,Nam Từ Liêm,1,0,9.030936191542699,21.012432098388697,105.76739501953101,4
2020-10-01,tập đoàn vingroup,72.0,38.888888888888886,2.8 tỷ,2.0,2.0,full,đông-nam,đông-nam,Nam Từ Liêm,1,0,7.527949821012995,21.0197982788086,105.780708312988,4
2020-10-01,tân hoàng minh group,82.0,34.14634146341464,2.8 tỷ,2.0,2.0,cao cấp,tây-bắc,đông-nam,Cầu Giấy,1,0,6.563943634959253,21.0058059692383,105.79437255859399,4
2020-09-30,tập đoàn vingroup,69.0,29.0,29 triệu/m²,2.0,2.0,full,tây-bắc,đông-nam,Nam Từ Liêm,1,0,10.578458375098457,21.0065288543701,105.753555297852,3
2020-09-30,tổng công ty đầu tư phát triển hạ tầng đô thị - udic,148.0,35.810810810810814,5.3 tỷ,4.0,2.0,full,đông-nam,tây-bắc,Tây Hồ,1,0,6.2518584401137325,21.0639667510986,105.805503845215,3
2020-09-30,công ty tnhh thương mại - quảng cáo - xây dựng - địa ốc việt hân,74.55,25.0,25 triệu/m²,2.0,2.0,full,tây-bắc,đông-nam,Bắc Từ Liêm,1,0,8.914089615411918,21.0403366088867,105.76758575439501,3
2020-09-30,công ty cp xây dựng số 2 - vinaconex2,76.0,17.3,17.3 triệu/m²,2.0,2.0,chưa có,Missing,Missing,Hoàng Mai,1,0,7.050216790986244,20.9732913970947,105.82000732421899,3
2020-09-29,tập đoàn vingroup,380.0,48.68421052631579,18.5 tỷ,4.0,2.0,full,Missing,Missing,Nam Từ Liêm,1,0,7.433990768186256,21.0190830230713,105.78173065185499,3
2020-09-29,tập đoàn vingroup,88.0,37.5,3.3 tỷ,2.0,2.0,cao cấp,tây-bắc,đông-nam,Thanh Xuân,1,0,4.833123138746107,21.002666473388697,105.8154296875,3
2020-09-29,tập đoàn vingroup,66.0,45.45454545454545,3 tỷ,2.0,2.0,chưa có,tây-nam,đông-bắc,Nam Từ Liêm,1,0,7.433990768186256,21.0190830230713,105.78173065185499,3
2020-09-29,tập đoàn vingroup,103.0,35.92233009708737,3.7 tỷ,2.0,2.0,cao cấp,đông-nam,tây-bắc,Thanh Xuân,1,0,4.833123138746107,21.002666473388697,105.8154296875,3
2020-09-28,tập đoàn vingroup,75.0,64.0,64 triệu/m²,2.0,2.0,full,đông-nam,tây-bắc,Ba Đình,1,0,3.9932741062709183,21.0317993164063,105.814193725586,3
2020-09-28,Missing,70.0,25.0,25 triệu/m²,2.0,2.0,cơ bản,Missing,Missing,Gia Lâm,0,1,11.966388708428244,21.0024147033691,105.964111328125,3
2020-09-28,tập đoàn vingroup,54.0,29.62962962962963,1.6 tỷ,2.0,1.0,cơ bản,đông-nam,đông-nam,Nam Từ Liêm,1,0,10.578458375098457,21.0065288543701,105.753555297852,3
2020-09-26,tập đoàn vingroup,65.64,39.60999390615478,2.6 tỷ,2.0,2.0,full,đông-bắc,tây-nam,Nam Từ Liêm,1,0,7.433990768186256,21.0190830230713,105.78173065185499,3
2020-09-25,tập đoàn vingroup,76.0,34.21052631578947,2.6 tỷ,3.0,2.0,full,Missing,Missing,Nam Từ Liêm,1,0,10.578458375098457,21.0065288543701,105.753555297852,3
2020-10-02,công ty cp xuất nhập khẩu tổng hợp hà nội - geleximco,60.0,30.0,30 triệu/m²,2.0,2.0,cơ bản,Missing,Missing,Hoàng Mai,1,0,5.6088896507447386,20.979537963867198,105.84161376953101,4
2020-09-28,công ty tnhh thương mại - quảng cáo - xây dựng - địa ốc việt hân,143.0,25.0,25 triệu/m²,3.0,2.0,full,Missing,Missing,Bắc Từ Liêm,1,0,8.914089615411918,21.0403366088867,105.76758575439501,3
2020-09-25,Missing,90.0,23.88888888888889,2.15 tỷ,2.0,2.0,cơ bản,nam,bắc,Tây Hồ,1,0,8.415546223294246,21.0897932,105.804506,3
2020-09-25,tân hoàng minh group,146.0,60.0,60 triệu/m²,3.0,3.0,full,Missing,Missing,Tây Hồ,1,0,4.792561115527007,21.0650571314459,105.827475726604,3
2020-09-24,công ty tnhh thương mại - quảng cáo - xây dựng - địa ốc việt hân,169.0,25.0,25 triệu/m²,4.0,3.0,cao cấp,đông-bắc,đông-nam,Bắc Từ Liêm,1,0,8.914089615411918,21.0403366088867,105.76758575439501,3
2020-09-24,tập đoàn vingroup,42.9,29.0,29 triệu/m²,1.0,1.0,full,tây-bắc,đông-nam,Nam Từ Liêm,1,0,10.578458375098457,21.0065288543701,105.753555297852,3
2020-09-24,tập đoàn vingroup,70.0,58.57142857142857,4.1 tỷ,2.0,2.0,cơ bản,Missing,Missing,Nam Từ Liêm,1,0,7.527949821012995,21.0197982788086,105.780708312988,3
2020-09-24,công ty cp tập đoàn sunshine,100.0,35.0,35 triệu/m²,3.0,2.0,cao cấp,Missing,Missing,Bắc Từ Liêm,1,0,8.872918193825386,21.0848697954088,105.79169845580999,3
2020-09-24,tập đoàn vingroup,60.2,24.93355481727575,1.501 tỷ,3.0,1.0,cao cấp,tây-bắc,đông-nam,Nam Từ Liêm,1,0,10.578458375098457,21.0065288543701,105.753555297852,3
2020-09-24,tân hoàng minh group,45.0,33.333333333333336,1.5 tỷ,2.0,2.0,cơ bản,Missing,Missing,Cầu Giấy,1,0,6.563943634959253,21.0058059692383,105.79437255859399,3
2020-09-23,tân hoàng minh group,88.0,60.0,60 triệu/m²,3.0,3.0,cao cấp,Missing,Missing,Tây Hồ,1,0,4.8020778810573805,21.064899444580103,105.827049255371,3
2020-09-22,tập đoàn vingroup,54.0,28.703703703703702,1.55 tỷ,2.0,1.0,cơ bản,tây-bắc,đông-nam,Nam Từ Liêm,1,0,10.578458375098457,21.0065288543701,105.753555297852,3
2020-10-02,Missing,60.0,25.33333333333333,1.52 tỷ,2.0,1.0,cao cấp,Missing,Missing,Gia Lâm,0,1,11.966388708428244,21.0024147033691,105.964111328125,4
2020-10-02,tổng công ty viglacera,63.0,16.8,16.8 triệu,2.0,2.0,full,Missing,Missing,Nam Từ Liêm,1,0,10.212204195438296,20.99260902404789,105.762237548828,4
2020-10-02,công ty cp tập đoàn sunshine,100.0,33.5,3.35 tỷ,3.0,2.0,full,Missing,Missing,Bắc Từ Liêm,1,0,8.790780987294081,21.0846095215279,105.79253530502301,4
2020-10-02,công ty tnhh mtv đầu tư phương đông,52.0,18.0,18 triệu/m²,2.0,2.0,full,Missing,Missing,Hoàng Mai,1,0,7.6371220183826924,20.9605541229248,105.845962524414,4
2020-10-02,Missing,60.0,26.33333333333333,1.58 tỷ,2.0,1.0,cơ bản,Missing,Missing,Gia Lâm,0,1,11.966388708428244,21.0024147033691,105.964111328125,4
2020-10-02,tập đoàn vingroup,67.0,38.805970149253724,2.6 tỷ,2.0,2.0,cơ bản,đông-bắc,tây-nam,Nam Từ Liêm,1,0,7.433990768186256,21.0190830230713,105.78173065185499,4
2020-10-02,tập đoàn vingroup,170.0,35.29411764705883,6 tỷ,3.0,3.0,cao cấp,tây-bắc,đông-nam,Thanh Xuân,1,0,4.833123138746107,21.002666473388697,105.8154296875,4
2020-10-02,tập đoàn capitaland,120.0,26.5,26.5 triệu/m²,3.0,2.0,cơ bản,tây-bắc,đông-nam,Hà Đông,1,0,8.263186442743944,20.987026214599602,105.786834716797,4
2020-10-02,tập đoàn jaccar bourbon,70.0,68.0,68 triệu/m²,1.0,1.0,cao cấp,tây-nam,đông-nam,Hoàn Kiếm,1,0,1.0470095920986997,21.0249118804932,105.843368530273,4
2020-10-02,công ty tnhh mtv đầu tư phương đông,52.0,18.0,18 triệu/m²,2.0,1.0,full,Missing,Missing,Hoàng Mai,1,0,7.6371220183826924,20.9605541229248,105.845962524414,4
2020-10-01,hd mon holdings,94.0,34.5,34.5 triệu/m²,2.0,2.0,cao cấp,tây-nam,đông-bắc,Nam Từ Liêm,1,0,8.70176637734733,21.029411315918,105.768753051758,4
2020-10-02,tập đoàn vingroup,100.0,26.0,26 triệu/m²,3.0,2.0,full,Missing,Missing,Hai Bà Trưng,1,0,4.116973104094032,20.9947910308838,105.86784362792999,4
2020-10-02,công ty tnhh indochina land,93.0,53.76344086021506,5 tỷ,3.0,2.0,cao cấp,Missing,Missing,Cầu Giấy,1,0,7.3198381560279,21.0360012054443,105.78246307372999,4
2020-10-02,Missing,92.0,25.0,25 triệu/m²,3.0,2.0,full,đông-bắc,tây-nam,Long Biên,1,0,6.495931754276251,21.0409755706787,105.91366577148399,4
2020-10-02,Missing,72.0,25.0,25 triệu/m²,2.0,2.0,full,đông-nam,tây-bắc,Long Biên,1,0,6.495931754276251,21.0409755706787,105.91366577148399,4
2020-10-02,Missing,69.0,19.5,19.5 triệu/m²,2.0,2.0,cao cấp,tây-bắc,đông-nam,Hoàng Mai,1,0,8.148995645882346,20.9561653137207,105.843521118164,4
2020-10-02,tập đoàn vingroup,76.0,31.98684210526316,2.431 tỷ,3.0,2.0,chưa có,đông-nam,đông-bắc,Nam Từ Liêm,1,0,10.578458375098457,21.0065288543701,105.753555297852,4
2020-10-02,tập đoàn vingroup,78.0,45.51282051282051,3.55 tỷ,2.0,2.0,full,Missing,Missing,Hai Bà Trưng,1,0,4.152857196946919,20.994333267211896,105.86756134033199,4
2020-10-02,tập đoàn vingroup,69.0,37.2463768115942,2.57 tỷ,2.0,2.0,full,tây-bắc,đông-nam,Nam Từ Liêm,1,0,7.527949821012995,21.0197982788086,105.780708312988,4
2020-10-02,công ty cp terra gold việt nam,82.0,32.92682926829269,2.7 tỷ,2.0,2.0,cơ bản,đông-nam,tây-bắc,Hai Bà Trưng,1,0,3.698523392708745,20.9984378814697,105.866737365723,4
2020-10-01,công ty cổ phần tập đoàn flc,55.0,12.0,12 triệu/m²,2.0,2.0,full,tây,đông,Nam Từ Liêm,1,0,10.853805571421962,20.991436004638697,105.756065368652,4
2020-10-01,công ty tnhh gamuda land việt nam,64.0,26.25,1.68 tỷ,2.0,2.0,chưa có,đông-nam,tây-bắc,Hoàng Mai,1,0,6.822471103286393,20.9702835083008,105.87171173095699,4
2020-10-01,hd mon holdings,107.7,40.0,40 triệu/m²,3.0,2.0,cao cấp,đông-nam,đông-bắc,Nam Từ Liêm,1,0,8.70176637734733,21.029411315918,105.768753051758,4
2020-10-01,công ty cp terra gold việt nam,87.4,43.0,43 triệu/m²,3.0,2.0,cơ bản,đông-bắc,đông-bắc,Hai Bà Trưng,1,0,3.698523392708745,20.9984378814697,105.866737365723,4
2020-10-01,công ty tnhh mtv đầu tư phương đông,52.0,18.0,18 triệu/m²,2.0,1.0,full,Missing,Missing,Hoàng Mai,1,0,7.6371220183826924,20.9605541229248,105.845962524414,4
2020-10-01,công ty cp xây dựng và thương mại bắc hà,60.0,39.0,39 triệu/m²,2.0,2.0,full,Missing,Missing,Tây Hồ,1,0,6.207575446891629,21.053024291992198,105.798637390137,4
2020-09-30,tập đoàn vingroup,78.2,45.39641943734014,3.55 tỷ,2.0,2.0,full,đông-nam,tây-bắc,Hai Bà Trưng,1,0,4.152857196946919,20.994333267211896,105.86756134033199,3
2020-10-01,công ty xây dựng 319 bộ quốc phòng,81.0,70.0,70 triệu/m²,2.0,2.0,cao cấp,Missing,Missing,Long Biên,1,0,2.327886063007043,21.0371780395508,105.87306976318399,4
2020-10-01,Missing,150.0,28.0,28 triệu/m²,3.0,2.0,cao cấp,đông-bắc,tây-nam,Thanh Xuân,1,0,6.003063114612288,21.0004196166992,105.803436279297,4
2020-10-01,công ty booyoung,95.54,25.0,25 triệu/m²,3.0,2.0,full,Missing,Missing,Hà Đông,1,0,8.942845587052515,20.9824485778809,105.782279968262,4
2020-10-01,công ty cp tập đoàn sunshine,108.0,32.407407407407405,3.5 tỷ,3.0,3.0,full,Missing,Missing,Hai Bà Trưng,1,0,4.215721522818806,20.996685028076197,105.873847961426,4
2020-10-01,công ty cp đầu tư và thương mại thủ đô,82.0,16.5,16.5 triệu/m²,3.0,2.0,cơ bản,tây-bắc,đông-nam,Long Biên,1,0,7.914882613822888,21.0423583984375,105.927299499512,4
2020-10-01,tập đoàn vingroup,55.0,32.72727272727273,1.8 tỷ,1.0,1.0,chưa có,bắc,nam,Hai Bà Trưng,1,0,4.152857196946919,20.994333267211896,105.86756134033199,4
2020-10-01,công ty cp xây dựng và thương mại bắc hà,83.0,38.0,38 triệu/m²,2.0,2.0,cao cấp,Missing,Missing,Tây Hồ,1,0,6.207575446891629,21.053024291992198,105.798637390137,4
2020-10-01,công ty tnhh phát triển khu đô thị nam thăng long,153.0,32.0,32 triệu/m²,4.0,4.0,full,Missing,Missing,Tây Hồ,1,0,6.462685103642633,21.072135925293,105.810997009277,4
2020-10-01,Missing,60.0,30.83333333333333,1.85 tỷ,2.0,2.0,full,Missing,Missing,Nam Từ Liêm,1,0,9.14874000758283,21.0292072296143,105.764450073242,4
2020-10-01,công ty tnhh thương mại - quảng cáo - xây dựng - địa ốc việt hân,78.0,25.0,25 triệu/m²,2.0,2.0,full,tây-bắc,đông-nam,Bắc Từ Liêm,1,0,8.914089615411918,21.0403366088867,105.76758575439501,4
2020-10-01,công ty cp xuất nhập khẩu tổng hợp hà nội - geleximco,90.0,25.0,25 triệu/m²,3.0,2.0,chưa có,tây-nam,đông-nam,Bắc Từ Liêm,1,0,8.016016166896572,21.0495662689209,105.778594970703,4
2020-10-01,tập đoàn jaccar bourbon,190.0,68.0,68 triệu/m²,3.0,2.0,cao cấp,tây,đông-nam,Hoàn Kiếm,1,0,1.0470095920986997,21.0249118804932,105.843368530273,4
2020-10-01,Missing,55.0,15.454545454545455,850 triệu,2.0,1.0,chưa có,Missing,Missing,Bắc Từ Liêm,1,0,13.60351116900598,21.069103,105.7288504,4
2020-09-30,công ty cp tập đoàn nam cường hà nội,74.0,27.02702702702703,2 tỷ,2.0,2.0,full,Missing,Missing,Hà Đông,1,0,11.128207460763429,20.9830436706543,105.757339477539,3
2020-09-30,Missing,71.0,25.0,25 triệu/m²,2.0,2.0,full,đông-nam,tây-bắc,Long Biên,1,0,6.495931754276251,21.0409755706787,105.91366577148399,3
2020-09-30,tập đoàn vingroup,53.0,26.0,26 triệu/m²,1.0,2.0,full,Missing,Missing,Hai Bà Trưng,1,0,4.116973104094032,20.9947910308838,105.86784362792999,3
2020-09-30,tân hoàng minh group,38.0,39.473684210526315,1.5 tỷ,1.0,1.0,cao cấp,tây-bắc,đông-nam,Cầu Giấy,1,0,6.563943634959253,21.0058059692383,105.79437255859399,3
2020-09-30,tân hoàng minh group,111.0,60.0,60 triệu/m²,3.0,3.0,full,Missing,Missing,Tây Hồ,1,0,4.8020778810573805,21.064899444580103,105.827049255371,3
2020-09-30,công ty cổ phần tập đoàn flc,49.0,12.0,12 triệu/m²,2.0,2.0,cao cấp,tây-bắc,đông-nam,Nam Từ Liêm,1,0,10.853805571421962,20.991436004638697,105.756065368652,3
2020-09-30,tập đoàn vingroup,156.0,54.48717948717949,8.5 tỷ,4.0,3.0,cao cấp,Missing,Missing,Nam Từ Liêm,1,0,7.433990768186256,21.0190830230713,105.78173065185499,3
2020-09-30,công ty cp đầu tư và phát triển nhà số 6 hà nội,174.0,37.5,37.5 triệu/m²,3.0,2.0,cao cấp,tây-bắc,đông-nam,Thanh Xuân,1,0,5.691670518237313,21.005578994751,105.803749084473,3
2020-09-30,Missing,133.0,12.030075187969926,1.6 tỷ,3.0,3.0,full,đông-nam,tây-bắc,Bắc Từ Liêm,1,0,7.664309736975253,21.047119140625,105.78136444091801,3
2020-09-30,công ty tnhh phát triển khu đô thị nam thăng long,145.0,32.0,32 triệu/m²,3.0,2.0,chưa có,tây-nam,đông-bắc,Tây Hồ,1,0,6.462685103642633,21.072135925293,105.810997009277,3
2020-09-30,công ty cp tập đoàn nam cường hà nội,80.0,22.5,1.8 tỷ,2.0,2.0,full,đông-nam,tây-bắc,Hà Đông,1,0,11.128207460763429,20.9830436706543,105.757339477539,3
2020-09-30,tập đoàn vingroup,53.0,26.0,26 triệu/m²,1.0,2.0,chưa có,Missing,Missing,Hai Bà Trưng,1,0,4.116973104094032,20.99479103088379,105.86784362792969,3
2020-09-30,công ty tnhh phát triển t.h.t,91.0,51.0,51 triệu/m²,3.0,2.0,cao cấp,Missing,Missing,Tây Hồ,1,0,6.584325353784045,21.055467605590803,105.795883178711,3
2020-09-30,tập đoàn vingroup,64.5,32.55813953488372,2.1 tỷ,3.0,2.0,cơ bản,đông-nam,đông-nam,Nam Từ Liêm,1,0,10.578458375098457,21.0065288543701,105.753555297852,3
2020-09-30,công ty cp đầu tư lạc hồng,87.0,21.5,21.5 triệu/m²,2.0,2.0,chưa có,tây,đông-nam,Tây Hồ,1,0,7.455282736704558,21.0833492279053,105.81072998046899,3
2020-09-30,công ty tnhh thiên hương,63.6,23.6,23.6 triệu/m²,2.0,2.0,full,Missing,Missing,Long Biên,1,0,7.0909498352165405,21.0577354431152,105.91335296630899,3
2020-09-30,công ty cổ phần tập đoàn flc,55.0,12.0,12 triệu/m²,2.0,1.0,cao cấp,Missing,Missing,Nam Từ Liêm,1,0,10.853805571421962,20.991436004638697,105.756065368652,3
2020-09-30,tập đoàn vingroup,53.0,26.0,26 triệu/m²,1.0,1.0,full,bắc,nam,Hai Bà Trưng,1,0,4.116973104094032,20.9947910308838,105.86784362792999,3
2020-09-29,công ty cp đầu tư - thiết kế và xây dựng việt nam,85.0,24.0,24 triệu/m²,3.0,2.0,full,tây-nam,đông-nam,Thanh Xuân,1,0,5.8179265296093226,20.9906997680664,105.814277648926,3
2020-09-29,công ty cp tập đoàn nam cường hà nội,75.0,26.66666666666667,2 tỷ,2.0,2.0,cao cấp,tây-bắc,đông-nam,Hà Đông,1,0,11.128207460763429,20.9830436706543,105.757339477539,3
2020-09-29,tập đoàn vingroup,107.0,34.0,34 triệu/m²,3.0,2.0,cơ bản,Missing,Missing,Nam Từ Liêm,1,0,7.527949821012995,21.0197982788086,105.780708312988,3
2020-09-29,tập đoàn vingroup,188.0,42.5531914893617,8 tỷ,3.0,3.0,cao cấp,đông-nam,đông-nam,Thanh Xuân,1,0,4.833123138746107,21.002666473388697,105.8154296875,3
2020-09-28,tân hoàng minh group,88.0,60.0,60 triệu/m²,3.0,4.0,full,đông-nam,tây-bắc,Tây Hồ,1,0,4.8020778810573805,21.064899444580103,105.827049255371,3
2020-09-29,công ty cp đầu tư - thiết kế và xây dựng việt nam,85.0,24.0,24 triệu/m²,3.0,2.0,full,tây-nam,đông-nam,Thanh Xuân,1,0,5.8179265296093226,20.9906997680664,105.814277648926,3
2020-09-29,tập đoàn vingroup,95.0,30.52631578947368,2.9 tỷ,3.0,2.0,full,Missing,Missing,Hai Bà Trưng,1,0,4.152857196946919,20.994333267211896,105.86756134033199,3
2020-09-29,Missing,28.0,30.357142857142854,850 triệu,2.0,2.0,full,Missing,Missing,Gia Lâm,0,1,11.966388708428244,21.0024147033691,105.964111328125,3
2020-09-29,Missing,171.0,36.0,36 triệu/m²,4.0,3.0,chưa có,Missing,Missing,Bắc Từ Liêm,1,0,7.055248598279975,21.0640485187096,105.795997394154,3
2020-09-29,Missing,60.0,23.33333333333333,1.4 tỷ,2.0,1.0,cơ bản,tây-bắc,đông-nam,Hoàng Mai,1,0,8.087054427552438,20.956588745117198,105.844886779785,3
2020-09-29,Missing,90.0,32.0,32 triệu/m²,3.0,2.0,full,tây-nam,đông-bắc,Thanh Xuân,1,0,6.137425589905641,20.998046875,105.80354309082001,3
2020-09-29,Missing,74.0,31.08108108108108,2.3 tỷ,3.0,2.0,cơ bản,Missing,Missing,Gia Lâm,0,1,11.966388708428244,21.0024147033691,105.964111328125,3
2020-09-29,c.t group,77.0,29.87012987012988,2.3 tỷ,2.0,2.0,full,tây-bắc,đông-nam,Thanh Xuân,1,0,7.393198144383389,20.986049652099602,105.798133850098,3
2020-09-29,công ty đầu tư xây dựng số 2 hà nội,76.0,30.0,30 triệu/m²,2.0,2.0,cao cấp,đông-bắc,tây-bắc,Cầu Giấy,1,0,5.498706753728055,21.0322113037109,105.799697875977,3
2020-09-29,tập đoàn vingroup,55.0,26.0,26 triệu/m²,1.0,1.0,full,bắc,nam,Hai Bà Trưng,1,0,4.116973104094032,20.9947910308838,105.86784362792999,3
2020-09-29,công ty cp xuất nhập khẩu tổng hợp hà nội - geleximco,72.0,25.0,25 triệu/m²,2.0,2.0,full,Missing,Missing,Bắc Từ Liêm,1,0,8.016016166896572,21.0495662689209,105.778594970703,3
2020-09-29,Missing,65.9,13.2,13.2 triệu/m²,2.0,2.0,cao cấp,tây,đông,Thạch Thất,0,1,36.01862278969889,21.010787963867198,105.50640869140601,3
2020-09-29,công ty cp đầu tư bất động sản đông đô - bqp,92.0,23.0,23 triệu/m²,3.0,2.0,full,tây-bắc,đông-nam,Bắc Từ Liêm,1,0,9.135324056920725,21.08515008984769,105.78847980499201,3
2020-09-28,Missing,84.0,34.52380952380953,2.9 tỷ,2.0,2.0,full,đông,nam,Thanh Xuân,1,0,6.7395883704957305,20.9824143260389,105.810934588855,3
2020-09-28,công ty cp xuất nhập khẩu tổng hợp hà nội - geleximco,73.0,25.0,25 triệu/m²,2.0,2.0,full,Missing,Missing,Bắc Từ Liêm,1,0,8.016016166896572,21.0495662689209,105.778594970703,3
2020-09-27,tập đoàn vingroup,100.0,45.0,4.5 tỷ,3.0,2.0,full,Missing,Missing,Nam Từ Liêm,1,0,7.433990768186256,21.0190830230713,105.78173065185499,3
2020-09-26,tập đoàn vingroup,65.0,40.0,2.6 tỷ,2.0,2.0,full,đông-bắc,tây-nam,Nam Từ Liêm,1,0,7.433990768186256,21.0190830230713,105.78173065185499,3
2020-09-28,công ty tnhh phát triển khu đô thị nam thăng long,119.0,32.0,32 triệu/m²,3.0,2.0,full,tây-nam,đông-bắc,Tây Hồ,1,0,6.462685103642633,21.072135925293,105.810997009277,3
2020-09-28,tập đoàn vingroup,53.0,26.0,26 triệu/m²,1.0,1.0,full,bắc,nam,Hai Bà Trưng,1,0,4.116973104094032,20.9947910308838,105.86784362792999,3
2020-09-28,Missing,71.0,25.0,25 triệu/m²,2.0,2.0,full,đông-nam,tây-bắc,Long Biên,1,0,6.495931754276251,21.0409755706787,105.91366577148399,3
2020-09-28,Missing,94.0,20.79787234042553,1.955 tỷ,3.0,2.0,cơ bản,Missing,Missing,Nam Từ Liêm,1,0,7.6533407634752075,20.988177800000006,105.7931517,3
2020-09-28,tập đoàn vingroup,50.0,43.6,2.18 tỷ,1.0,1.0,full,Missing,Missing,Nam Từ Liêm,1,0,7.433990768186256,21.0190830230713,105.78173065185499,3
